output,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10
86954094000.00 ,19427000000.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,131.00 ,25000.00 
159154000.00 ,511000.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,22.00 ,13.00 
115000000.00 ,3000000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,7.00 ,7
7000000000.00 ,44823000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,4.00 ,286.00 
639000000.00 ,579670.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13.00 ,54.00 
52950000.00 ,37500000.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,55.00 ,85.00 
410000000.00 ,37029000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,8.00 ,6000.00 
105000000.00 ,37500000.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,31.00 ,9
5200000000.00 ,82355000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,14.00 ,110.00 
6000000000.00 ,17331000.00 ,1.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,21.00 ,400.00 
8000000000.00 ,112500000.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,15.00 ,1723.00 
3546424000.00 ,1848100000.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,7.00 ,8700.00 
300000000.00 ,3000000.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,10.00 ,6.00 
1083204000.00 ,455897000.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,19.00 ,490.00 
800000000.00 ,112500000.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.00 ,12.00 ,158.00 
85000000.00 ,7500000.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,17.00 ,80.00 
85688049.83 ,38610.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,14.00 ,24.00 
8400000000.00 ,3000000000.00 ,1.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,1.00 ,16.00 ,9200.00 
449000000.00 ,41160000.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,15.00 ,214.00 
734208000.00 ,318296000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,7.00 ,440.00 
379000000.00 ,157875.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,22.00 ,37.00 
1530000000.00 ,18550000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,1.00 ,9.00 ,400.00 
32000000000.00 ,6148000000.00 ,1.00 ,1.00 ,1.00 ,0.00 ,1.00 ,0.00 ,1.00 ,83.00 ,16000.00 
74886320000.00 ,11448800000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,38.00 ,7350.00 
300000000.00 ,3000000.00 ,0.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,7.00 ,10.00 
880000000.00 ,62500000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,9.00 ,10.00 
196541000.00 ,130083000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,18.00 ,310.00 
48000000.00 ,8214000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,30.00 ,34.00 
1230000000.00 ,463020000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,63.00 ,314.00 
128375000.00 ,1812500.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,14.00 ,19.00 
1100000000.00 ,144334000.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,9.00 ,18.00 
8395985000.00 ,7500000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,18.00 ,282.00 
3200000000.00 ,3000000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,13.00 ,35.00 
360196000.00 ,82705000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,18.00 ,320.00 
17000000000.00 ,4463700000.00 ,1.00 ,1.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,125.00 ,19000.00 
8363218788.00 ,1054442000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,23.00 ,873.00 
3539000000.00 ,115029000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,27.00 ,485.00 
66000000.00 ,16471000.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,17.00 ,8
410000000.00 ,27093000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,0.00 ,11.00 ,53.00 
1025000000.00 ,23200000.00 ,1.00 ,1.00 ,1.00 ,0.00 ,1.00 ,0.00 ,0.00 ,72.00 ,109.00 
8050000000.00 ,1308621000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,1.00 ,37.00 ,3700.00 
1437545000.00 ,15000000.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,16.00 ,81.00 
41000000.00 ,3000000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,5.00 ,5.00 
10383017400.00 ,1133542000.00 ,1.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,14.00 ,1000.00 
59469929000.00 ,20853000000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,126.00 ,74000.00 
100000000.00 ,7500000.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,9.00 ,24.00 
24244506000.00 ,3646899000.00 ,0.00 ,0.00 ,0.00 ,1.00 ,0.00 ,1.00 ,1.00 ,60.00 ,5600.00 
462220000.00 ,11043000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,19.00 ,251.00 
1678664000.00 ,165436000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,24.00 ,468.00 
500000000.00 ,3000000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.00 ,5.00 ,175.00 
5200000000.00 ,112500000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,0.00 ,1.00 ,0.00 ,23.00 ,459.00 
3852404200.00 ,469000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,1.00 ,1.00 ,17.00 ,84.00 
8300000000.00 ,70339000.00 ,1.00 ,1.00 ,0.00 ,1.00 ,1.00 ,1.00 ,1.00 ,17.00 ,353.00 
14000000000.00 ,943258000.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,10.00 ,628.00 
